City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
127,Manokwari,ID,77.27,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
128,Rawson,AR,80.26,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
129,Huarmey,PE,76.53,scattered clouds,-10.0681,-78.1522,Hotel Miramar
130,Tocopilla,CL,74.5,few clouds,-22.092,-70.1979,Hotel Galvarino
131,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
132,San Patricio,US,70.21,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
133,La Palma,US,88.27,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
134,Castro Daire,PT,50.25,broken clouds,40.8984,-7.9338,Alvores do Tempo - Quinta de Turismo Rural
135,Seredeyskiy,RU,18.41,few clouds,54.0507,35.2318,Istochnik Tsel'nykh Vod.
136,Lieksa,FI,14.09,overcast clouds,63.3167,30.0167,Kaatrahovi
140,Mataura,NZ,50.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
141,Hofn,IS,24.69,overcast clouds,64.2539,-15.2082,Hótel Höfn
142,Coihaique,CL,82.71,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
144,Wloszczowa,PL,32.4,clear sky,50.8526,19.9659,Hotel Mariage
145,Lircay,PE,55.54,light rain,-12.9896,-74.7205,Hostal Escobar
146,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
147,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
148,Gouyave,GD,78.06,overcast clouds,12.1646,-61.7296,Rumboat Retreat
149,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
150,Capao Da Canoa,BR,77.49,clear sky,-29.7456,-50.0097,Hotel Araçá
151,Puerto Cabezas,NI,82.85,few clouds,14.0351,-83.3888,Cabaña Caribe
152,Acapulco,MX,85.08,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
153,Erzin,TR,41.52,clear sky,36.9559,36.2,Artemis Otel
154,Namibe,AO,76.23,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
155,Drumnadrochit,GB,43.79,overcast clouds,57.3344,-4.4799,The Loch Ness Inn
157,Sao Joao Da Barra,BR,77.07,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
158,Calatayud,ES,55.98,overcast clouds,41.3535,-1.6432,Globales Castillo de Ayud
159,Ngunguru,NZ,70.18,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
161,Kavaratti,IN,80.64,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
162,Batticaloa,LK,77.95,overcast clouds,7.7102,81.6924,Grand Star Guest House
