City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Adrar,MR,20.5022,-10.0711,69.48,18,2,10.07,clear sky
157,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.07,80,87,5.44,overcast clouds
158,Calatayud,ES,41.3535,-1.6432,55.98,63,89,2.04,overcast clouds
159,Ngunguru,NZ,-35.6167,174.5,70.18,76,97,29.04,overcast clouds
160,Pevek,RU,69.7008,170.3133,-23.31,98,100,9.42,overcast clouds
161,Kavaratti,IN,10.5669,72.642,80.64,71,5,8.43,clear sky
162,Batticaloa,LK,7.7102,81.6924,77.95,86,100,6.6,overcast clouds
163,Manyana,BW,-23.4,21.7167,75.94,31,19,9.1,few clouds
164,Harrison,US,30.4091,-89.0436,72.75,49,0,2.77,clear sky
165,Lerum,SE,57.7745,12.2697,40.1,66,100,25.32,light rain
166,Canyon Lake,US,29.8752,-98.2625,54.95,47,94,15.01,overcast clouds
167,Usinsk,RU,65.9939,57.5281,7.21,95,100,16.71,light snow
168,Eyl,SO,7.9803,49.8164,75.92,64,98,16.58,overcast clouds
169,Ambulu,ID,-8.345,113.6058,75.79,88,100,2.77,overcast clouds
170,Kruisfontein,ZA,-34.0033,24.7314,71.38,94,87,5.17,overcast clouds
171,Kailua,US,21.4022,-157.7394,76.75,76,36,3.0,scattered clouds
172,Torbay,CA,47.6666,-52.7314,44.89,80,100,3.0,overcast clouds
173,Cockeysville,US,39.4812,-76.6439,58.23,55,100,8.99,overcast clouds
174,Pella,RU,59.7775,30.8181,34.88,97,100,11.79,snow
175,Port Hawkesbury,CA,45.6169,-61.3485,47.08,84,70,7.0,broken clouds
176,Kahului,US,20.8947,-156.47,75.85,79,5,8.01,clear sky
177,Cervo,ES,43.6702,-7.4101,49.19,83,42,4.52,scattered clouds
178,Kaseda,JP,31.4167,130.3167,54.61,90,100,12.86,overcast clouds
179,Ilek,RU,51.5271,53.3831,14.31,98,100,5.68,overcast clouds
180,Sur,OM,22.5667,59.5289,69.67,62,0,10.02,clear sky
181,Trumbull,US,41.3167,-80.7665,34.36,71,100,10.36,overcast clouds
182,Mount Gambier,AU,-37.8333,140.7667,64.42,50,100,7.34,overcast clouds
183,Sitka,US,57.0531,-135.33,42.69,87,75,3.44,mist
184,Andenes,NO,69.3143,16.1194,24.78,80,15,13.8,few clouds
185,Korla,CN,41.7597,86.1469,29.62,45,99,8.14,overcast clouds
186,Lingao,CN,19.9103,109.6859,67.01,84,75,11.92,broken clouds
187,Laguna,US,38.421,-121.4238,76.96,56,0,1.01,clear sky
188,Carnarvon,AU,-24.8667,113.6333,79.02,75,8,11.61,clear sky
189,Victoria,HK,22.2855,114.1577,66.18,89,100,8.01,overcast clouds
190,Yangcun,CN,39.3639,117.0603,26.58,86,100,8.19,overcast clouds
191,Port Keats,AU,-14.25,129.55,79.77,82,22,4.07,few clouds
192,Udachnyy,RU,66.4167,112.4,-13.54,100,98,2.84,overcast clouds
193,Russell,US,32.3502,-85.1999,72.37,46,1,4.16,clear sky
194,Saint Peter,BB,13.25,-59.6167,77.9,67,29,19.37,scattered clouds
195,Kargasok,RU,59.0556,80.8572,-6.72,100,64,8.48,broken clouds
196,Bathsheba,BB,13.2167,-59.5167,80.24,65,25,18.86,scattered clouds
197,Porangatu,BR,-13.4408,-49.1486,80.49,76,18,4.29,few clouds
198,Elko,US,41.0002,-115.5012,42.75,54,0,3.0,clear sky
199,Ardesen,TR,41.1911,40.9875,40.96,63,8,6.44,clear sky
